@relation vista_minable2

@attribute id_encuesta numeric
@attribute centro_hospitalario {H11,H1,H2,H4,H5,H6,H7,H8,H9,H10,H12}
@attribute area {a3,a1,a2}
@attribute categoria {c1,c2,c3,c4}
@attribute ult_grado {g2,g8,g1}
@attribute esc_med_gral {c1,c5,c12,c13,c33,c14,c16,c17,c40,c18,c19,c25,c28,c10,c41,c8,c49,c52,c53,c73,c75,c72,c76,c77,c39,c82,c83,c84,c85,c79,c86,c87,c89,c90,c91,c93,c92,c94,c67,c95,c104,c108,c109,c110,c116,c117,c120,c121,c15,c125,c127,c111}
@attribute esc_esp {c39,c4,c7,c8,c9,c33,c13,c15,c6,c11,c20,c21,c23,c22,c26,c27,c29,c30,c43,c32,c40,c14,c16,c42,c31,c44,c1,c47,c53,c58,c74,c60,c78,c80,c81,c84,c88,c12,c67,c96,c97,c98,c99,c100,c101,c102,c103,c105,c106,c107,c110,c111,c113,c114,c115,c118,c119,c120,c122,c124,c125,c126,c121,c127,c128,c129}
@attribute anios_prac {3a,3c,3b,3e,3d}
@attribute casos {4a,4b,4c,4e,4d}
@attribute hall_disc {7a,7c,7b,7d,7e}
@attribute hall_arb {8a,8c,8b,8d,8e}
@attribute hall_dem {11a,11b,11d,11c,11e}
@attribute mcc_aut {14a,14b,14c,14d,14f,14e,14g,14h,14i}
@attribute mcc_no_aut {16o,16a,16b,16c,16d,16e,16q,16f,16h,16i,16j,16l,16m,16k,16n,16p,16r,16ñ,16u}
@attribute rechazo_fam string
@attribute no_hosp string
@attribute per_sol_aut {19b,19d,19a,19c,19e,19f,19z}
@attribute med_aut {20a,20d,20e,20f,20b,20c,20j,20g,20h,20i,20z}
@attribute fmr_sol_aut string
@attribute com_sug_op {22i,22a,22b,22c,22k,22d,22e,22f,22g,22h,22l,22m,22n,22ñ,22o,22p,22q,22j}

@data
4,H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16b,17f,18d,19a,20a,21c,22k
4,H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16b,17f,18d,19a,20e,21c,22b
4,H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16b,17f,18d,19a,20e,21c,22c
4,H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16b,17f,18d,19a,20e,21c,22k
4,H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16c,17f,18d,19a,20a,21c,22b
4,H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16c,17f,18d,19a,20a,21c,22c
4,H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16c,17f,18d,19a,20a,21c,22k
4,H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16c,17f,18d,19a,20e,21c,22b
4,H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16c,17f,18d,19a,20e,21c,22c
4,H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16c,17f,18d,19a,20e,21c,22k
4,H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16e,17f,18d,19a,20a,21c,22b
4,H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16e,17f,18d,19a,20a,21c,22c
4,H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16e,17f,18d,19a,20a,21c,22k
4,H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16e,17f,18d,19a,20e,21c,22b
4,H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16e,17f,18d,19a,20e,21c,22c
4,H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16e,17f,18d,19a,20e,21c,22k
4,H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16q,17f,18d,19a,20a,21c,22b
4,H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16q,17f,18d,19a,20a,21c,22c
4,H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16q,17f,18d,19a,20a,21c,22k
4,H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16q,17f,18d,19a,20e,21c,22b
4,H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16q,17f,18d,19a,20e,21c,22c
4,H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16q,17f,18d,19a,20e,21c,22k
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16c,17f,18a,19a,20a,21b,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16c,17f,18a,19a,20a,21d,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16c,17f,18a,19a,20e,21b,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16c,17f,18a,19a,20e,21d,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16c,17f,18a,19d,20a,21b,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16c,17f,18a,19d,20a,21d,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16c,17f,18a,19d,20e,21b,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16c,17f,18a,19d,20e,21d,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16c,17f,18b,19a,20a,21b,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16c,17f,18b,19a,20a,21d,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16c,17f,18b,19a,20e,21b,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16c,17f,18b,19a,20e,21d,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16c,17f,18b,19d,20a,21b,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16c,17f,18b,19d,20a,21d,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16c,17f,18b,19d,20e,21b,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16c,17f,18b,19d,20e,21d,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16c,17f,18d,19a,20a,21b,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16c,17f,18d,19a,20a,21d,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16c,17f,18d,19a,20e,21b,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16c,17f,18d,19a,20e,21d,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16c,17f,18d,19d,20a,21b,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16c,17f,18d,19d,20a,21d,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16c,17f,18d,19d,20e,21b,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16c,17f,18d,19d,20e,21d,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16c,17f,18f,19a,20a,21b,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16c,17f,18f,19a,20a,21d,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16c,17f,18f,19a,20e,21b,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16c,17f,18f,19a,20e,21d,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16c,17f,18f,19d,20a,21b,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16c,17f,18f,19d,20a,21d,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16c,17f,18f,19d,20e,21b,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16c,17f,18f,19d,20e,21d,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16f,17f,18a,19a,20a,21b,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16f,17f,18a,19a,20a,21d,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16f,17f,18a,19a,20e,21b,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16f,17f,18a,19a,20e,21d,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16f,17f,18a,19d,20a,21b,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16f,17f,18a,19d,20a,21d,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16f,17f,18a,19d,20e,21b,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16f,17f,18a,19d,20e,21d,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16f,17f,18b,19a,20a,21b,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16f,17f,18b,19a,20a,21d,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16f,17f,18b,19a,20e,21b,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16f,17f,18b,19a,20e,21d,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16f,17f,18b,19d,20a,21b,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16f,17f,18b,19d,20a,21d,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16f,17f,18b,19d,20e,21b,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16f,17f,18b,19d,20e,21d,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16f,17f,18d,19a,20a,21b,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16f,17f,18d,19a,20a,21d,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16f,17f,18d,19a,20e,21b,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16f,17f,18d,19a,20e,21d,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16f,17f,18d,19d,20a,21b,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16f,17f,18d,19d,20a,21d,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16f,17f,18d,19d,20e,21b,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16f,17f,18d,19d,20e,21d,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16f,17f,18f,19a,20a,21b,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16f,17f,18f,19a,20a,21d,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16f,17f,18f,19a,20e,21b,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16f,17f,18f,19a,20e,21d,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16f,17f,18f,19d,20a,21b,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16f,17f,18f,19d,20a,21d,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16f,17f,18f,19d,20e,21b,22c
5,H1,a2,c2,g2,c5,c39,3a,4b,7b,8d,11c,14c,16f,17f,18f,19d,20e,21d,22c
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14a,16b,17a,18d,19a,20e,21a,22c
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14a,16b,17a,18d,19a,20e,21a,22d
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14a,16b,17a,18d,19a,20e,21a,22e
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14a,16b,17a,18d,19a,20e,21a,22k
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14a,16b,17a,18d,19a,20e,21c,22c
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14a,16b,17a,18d,19a,20e,21c,22d
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14a,16b,17a,18d,19a,20e,21c,22e
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14a,16b,17a,18d,19a,20e,21c,22k
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14a,16b,17a,18e,19a,20e,21a,22c
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14a,16b,17a,18e,19a,20e,21a,22d
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14a,16b,17a,18e,19a,20e,21a,22e
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14a,16b,17a,18e,19a,20e,21a,22k
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14a,16b,17a,18e,19a,20e,21c,22c
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14a,16b,17a,18e,19a,20e,21c,22d
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14a,16b,17a,18e,19a,20e,21c,22e
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14a,16b,17a,18e,19a,20e,21c,22k
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14a,16b,17c,18d,19a,20e,21a,22c
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14a,16b,17c,18d,19a,20e,21a,22d
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14a,16b,17c,18d,19a,20e,21a,22e
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14a,16b,17c,18d,19a,20e,21a,22k
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14a,16b,17c,18d,19a,20e,21c,22c
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14a,16b,17c,18d,19a,20e,21c,22d
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14a,16b,17c,18d,19a,20e,21c,22e
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14a,16b,17c,18d,19a,20e,21c,22k
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14a,16b,17c,18e,19a,20e,21a,22c
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14a,16b,17c,18e,19a,20e,21a,22d
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14a,16b,17c,18e,19a,20e,21a,22e
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14a,16b,17c,18e,19a,20e,21a,22k
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14a,16b,17c,18e,19a,20e,21c,22c
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14a,16b,17c,18e,19a,20e,21c,22d
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14a,16b,17c,18e,19a,20e,21c,22e
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14a,16b,17c,18e,19a,20e,21c,22k
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14b,16b,17a,18d,19a,20e,21a,22c
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14b,16b,17a,18d,19a,20e,21a,22d
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14b,16b,17a,18d,19a,20e,21a,22e
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14b,16b,17a,18d,19a,20e,21a,22k
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14b,16b,17a,18d,19a,20e,21c,22c
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14b,16b,17a,18d,19a,20e,21c,22d
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14b,16b,17a,18d,19a,20e,21c,22e
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14b,16b,17a,18d,19a,20e,21c,22k
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14b,16b,17a,18e,19a,20e,21a,22c
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14b,16b,17a,18e,19a,20e,21a,22d
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14b,16b,17a,18e,19a,20e,21a,22e
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14b,16b,17a,18e,19a,20e,21a,22k
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14b,16b,17a,18e,19a,20e,21c,22c
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14b,16b,17a,18e,19a,20e,21c,22d
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14b,16b,17a,18e,19a,20e,21c,22e
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14b,16b,17a,18e,19a,20e,21c,22k
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14b,16b,17c,18d,19a,20e,21a,22c
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14b,16b,17c,18d,19a,20e,21a,22d
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14b,16b,17c,18d,19a,20e,21a,22e
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14b,16b,17c,18d,19a,20e,21a,22k
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14b,16b,17c,18d,19a,20e,21c,22c
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14b,16b,17c,18d,19a,20e,21c,22d
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14b,16b,17c,18d,19a,20e,21c,22e
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14b,16b,17c,18d,19a,20e,21c,22k
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14b,16b,17c,18e,19a,20e,21a,22c
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14b,16b,17c,18e,19a,20e,21a,22d
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14b,16b,17c,18e,19a,20e,21a,22e
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14b,16b,17c,18e,19a,20e,21a,22k
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14b,16b,17c,18e,19a,20e,21c,22c
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14b,16b,17c,18e,19a,20e,21c,22d
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14b,16b,17c,18e,19a,20e,21c,22e
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14b,16b,17c,18e,19a,20e,21c,22k
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17a,18d,19a,20e,21a,22c
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17a,18d,19a,20e,21a,22d
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17a,18d,19a,20e,21a,22e
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17a,18d,19a,20e,21a,22k
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17a,18d,19a,20e,21c,22c
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17a,18d,19a,20e,21c,22d
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17a,18d,19a,20e,21c,22e
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17a,18d,19a,20e,21c,22k
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17a,18e,19a,20e,21a,22c
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17a,18e,19a,20e,21a,22d
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17a,18e,19a,20e,21a,22e
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17a,18e,19a,20e,21a,22k
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17a,18e,19a,20e,21c,22c
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17a,18e,19a,20e,21c,22d
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17a,18e,19a,20e,21c,22e
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17a,18e,19a,20e,21c,22k
6,H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17c,18d,19a,20e,21a,22c
